"company","date_dt","frc","amount"
"АО ""РТ-Техприемка""",2025-01-01,Оценка и технический контроль,145600000
"АО ""РТ-Техприемка""",2025-01-01,Центр обучения,1400000
"АО ""РТ-Техприемка""",2025-01-01,Центр сертификации,702366
"АО ""РТ-Техприемка""",2025-01-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-02-01,Оценка и технический контроль,172900000
"АО ""РТ-Техприемка""",2025-02-01,Центр качества поставок,2125000
"АО ""РТ-Техприемка""",2025-02-01,Центр обучения,1500000
"АО ""РТ-Техприемка""",2025-02-01,Центр сертификации,500000
"АО ""РТ-Техприемка""",2025-02-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-03-01,Оценка и технический контроль,191100000
"АО ""РТ-Техприемка""",2025-03-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-03-01,Центр качества поставок,4250000
"АО ""РТ-Техприемка""",2025-03-01,Центр обучения,2100000
"АО ""РТ-Техприемка""",2025-03-01,Центр сертификации,800000
"АО ""РТ-Техприемка""",2025-03-01,Инновации и инжиниринг,38900000
"АО ""РТ-Техприемка""",2025-03-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-04-01,Оценка и технический контроль,191100000
"АО ""РТ-Техприемка""",2025-04-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-04-01,Центр качества поставок,2125000
"АО ""РТ-Техприемка""",2025-04-01,Центр сертификации,900000
"АО ""РТ-Техприемка""",2025-04-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-05-01,Оценка и технический контроль,182000000
"АО ""РТ-Техприемка""",2025-05-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-05-01,Центр качества поставок,4250000
"АО ""РТ-Техприемка""",2025-05-01,Центр сертификации,1000000
"АО ""РТ-Техприемка""",2025-05-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-06-01,Оценка и технический контроль,182000000
"АО ""РТ-Техприемка""",2025-06-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-06-01,Центр качества поставок,4250000
"АО ""РТ-Техприемка""",2025-06-01,Центр сертификации,1208978
"АО ""РТ-Техприемка""",2025-06-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-07-01,Оценка и технический контроль,191100000
"АО ""РТ-Техприемка""",2025-07-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-07-01,Центр качества поставок,2125000
"АО ""РТ-Техприемка""",2025-07-01,Центр сертификации,450000
"АО ""РТ-Техприемка""",2025-07-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-08-01,Оценка и технический контроль,191100000
"АО ""РТ-Техприемка""",2025-08-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-08-01,Центр качества поставок,4250000
"АО ""РТ-Техприемка""",2025-08-01,Центр сертификации,500000
"АО ""РТ-Техприемка""",2025-08-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-09-01,Оценка и технический контроль,191100000
"АО ""РТ-Техприемка""",2025-09-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-09-01,Центр качества поставок,2125000
"АО ""РТ-Техприемка""",2025-09-01,Центр сертификации,1600000
"АО ""РТ-Техприемка""",2025-09-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-05-01,Центр компетенции и системы управления качеством ГК Ростех,3142660
"АО ""РТ-Техприемка""",2025-06-01,Центр компетенции и системы управления качеством ГК Ростех,3142660
"АО ""РТ-Техприемка""",2025-07-01,Центр компетенции и системы управления качеством ГК Ростех,3486660
"АО ""РТ-Техприемка""",2025-08-01,Центр компетенции и системы управления качеством ГК Ростех,3486660
"АО ""РТ-Техприемка""",2025-09-01,Центр компетенции и системы управления качеством ГК Ростех,3486660
"АО ""РТ-Техприемка""",2025-02-01,Центр компетенции и системы управления качеством ГК Ростех,3077670
"АО ""РТ-Техприемка""",2025-03-01,Управление проектами и цифровизацией,1000000
"АО ""РТ-Техприемка""",2025-04-01,Управление проектами и цифровизацией,10000000
"АО ""РТ-Техприемка""",2025-05-01,Управление проектами и цифровизацией,3000000
"АО ""РТ-Техприемка""",2025-07-01,Управление проектами и цифровизацией,15000000
"АО ""РТ-Техприемка""",2025-08-01,Управление проектами и цифровизацией,4000000
"АО ""РТ-Техприемка""",2025-09-01,Управление проектами и цифровизацией,3000000
"АО ""РТ-Техприемка""",2025-04-01,Центр компетенции и системы управления качеством ГК Ростех,3142660
