"date_dt","c_agent","contract","doc","division","frc","nom_g","div_frc","nom_frc","amount"
2025-01-09 17:07:00.000,РТ-ТЕХПОСТАВКА АО,Договор от 2024-11-28 №ДА-01/24,"Реализация (акт, накладная, УПД) 00БП-000003 от 09.01.2025 17:07:37",АУП 00: Основное подразделение,Оценка и технический контроль,"06-1. Прочие услуги","Руководство АО ""РТ-Техприемка""",Оценка и технический контроль,67765.35
2025-01-09 17:07:00.000,РТ-ТЕХПОСТАВКА АО,Договор от 2024-11-28 №ДА-01/24,"Реализация (акт, накладная, УПД) 00БП-000003 от 09.01.2025 17:07:37",АУП 00: Основное подразделение,Оценка и технический контроль,"06-1. Прочие услуги","Руководство АО ""РТ-Техприемка""",Оценка и технический контроль,7240.71
2025-01-10 13:25:00.000,ПКФ НЕФТЕХИМИК ООО,Договор от 2024-12-16 №16122024/1,"Реализация (акт, накладная, УПД) 00БП-000004 от 10.01.2025 13:25:07",АУП 06.4: Направление ВСМК (сч 26),Оценка и технический контроль,"01-1. Контроль качества продукции",Внутренняя система менеджмента качества,Оценка и технический контроль,121484.64
2025-01-10 16:43:00.000,НАДЕЖДИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД ПАО,Договор №АТП-П 092/14 от 30.09.13г.,"Реализация (акт, накладная, УПД) 00БП-000009 от 10.01.2025 16:43:48","03 ПАО ""Надеждинский металлургический завод""",Оценка и технический контроль,"01-3. Выходные дни",Оценка и технический контроль,Оценка и технический контроль,11828.6
2025-01-10 16:43:00.000,КУМЗ АО,Договор №АТП-П 039/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000005 от 10.01.2025 16:43:44","15 ОАО ""КУМЗ""",Оценка и технический контроль,"01-3. Выходные дни",Оценка и технический контроль,Оценка и технический контроль,139389.89
2025-01-10 16:43:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000010 от 10.01.2025 16:43:49","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-3. Выходные дни",Оценка и технический контроль,Оценка и технический контроль,40224.01
2025-01-10 16:43:00.000,ИЖСТАЛЬ ПАО,Договор №АТП-П 126/14 от 30.06.14г.,"Реализация (акт, накладная, УПД) 00БП-000008 от 10.01.2025 16:43:47","16 ПАО ""Ижсталь""",Оценка и технический контроль,"01-3. Выходные дни",Оценка и технический контроль,Оценка и технический контроль,47151.51
2025-01-10 16:43:00.000,РЗ ОЦМ ПАО,Договор №АТП-П 041/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000006 от 10.01.2025 16:43:45","19 ПАО ""РЗ ОЦМ""",Оценка и технический контроль,"01-3. Выходные дни",Оценка и технический контроль,Оценка и технический контроль,10253.32
2025-01-10 16:43:00.000,МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД ЭЛЕКТРОСТАЛЬ АО,Договор №АТП-П 032/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000007 от 10.01.2025 16:43:46","14 АО Металлургический завод ""Электросталь""",Оценка и технический контроль,"01-3. Выходные дни",Оценка и технический контроль,Оценка и технический контроль,155808.82
2025-01-14 11:33:00.000,НПО ПМ МКБ АО,Договор от 2024-11-02 №02112024/2 ,"Реализация (акт, накладная, УПД) 00БП-000011 от 14.01.2025 11:33:54",АУП 06.4: Направление ВСМК (сч 26),Оценка и технический контроль,"01-1. Контроль качества продукции",Внутренняя система менеджмента качества,Оценка и технический контроль,136831.64
2025-01-15 15:42:00.000,АЛКАМ ПЛЮС ООО,Договор 02112024/4 от 02.11.2024,"Реализация (акт, накладная, УПД) 00БП-000012 от 15.01.2025 15:42:41",АУП 06.4: Направление ВСМК (сч 26),Оценка и технический контроль,"01-1. Контроль качества продукции",Внутренняя система менеджмента качества,Оценка и технический контроль,107031.64
2025-01-16 17:35:00.000,НЗСЭ ООО,Обеспечительный платеж по Договору №АТП-З 1533/24 от 11.11.2024,"Реализация (акт, накладная, УПД) 00БП-000013 от 16.01.2025 17:35:52",АУП 00: Основное подразделение,Оценка и технический контроль,"01-1. Контроль качества продукции","Руководство АО ""РТ-Техприемка""",Оценка и технический контроль,4166.67
2025-01-20 23:59:00.000,ИПП ООО,Договор от 2024-12-16 №377/02/24 ,"Реализация (акт, накладная, УПД) 00БП-000324 от 20.01.2025 23:59:59","АУП 01.4: ЦС ""Ростех-сертификат"" (20 сч)",Центр сертификации,"07-1. Центр Сертификации",Центр сертификации,Центр сертификации,590000
